Security Code,Security Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500900,STERLITEIND,21 Jun 2010,Stock  Split From Rs.2/- to Rs.1/-,22 Jun 2010,-,-,15 Jun 2010,21 Jun 2010,-
531977,CHLOGIST,23 Jun 2010,Stock  Split From Rs.10/- to Rs.1/-,24 Jun 2010,-,-,17 Jun 2010,23 Jun 2010,-
506109,GENESYS,23 Jun 2010,Stock  Split From Rs.10/- to Rs.5/-,24 Jun 2010,-,-,17 Jun 2010,23 Jun 2010,-
512229,VERITAS,28 Jun 2010,Stock  Split From Rs.10/- to Rs.1/-,29 Jun 2010,-,-,22 Jun 2010,28 Jun 2010,-
500800,TATATEA,30 Jun 2010,Stock  Split From Rs.10/- to Rs.1/-,02 Jul 2010,-,-,25 Jun 2010,01 Jul 2010,-
526753,ROSELABS,02 Jul 2010,Stock  Split From Rs.10/- to Rs.5/-,05 Jul 2010,-,-,25 Jun 2010,02 Jul 2010,-
532691,TULIP,06 Jul 2010,Stock  Split From Rs.10/- to Rs.2/-,07 Jul 2010,-,-,29 Jun 2010,06 Jul 2010,-
526560,ENGLISHIN,07 Jul 2010,Stock  Split From Rs.10/- to Rs.2/-,-,09 Jul 2010,09 Jul 2010,02 Jul 2010,08 Jul 2010,-
531162,EMAMILTD,21 Jul 2010,Stock  Split From Rs.2/- to Rs.1/-,-,23 Jul 2010,27 Jul 2010,16 Jul 2010,22 Jul 2010,-
513377,MMTC,29 Jul 2010,Stock  Split From Rs.10/- to Rs.1/-,30 Jul 2010,-,-,23 Jul 2010,29 Jul 2010,-
512048,SPLASHM,29 Jul 2010,Stock  Split From Rs.10/- to Rs.1/-,31 Jul 2010,-,-,26 Jul 2010,29 Jul 2010,-
532718,PRATIBHA,30 Jul 2010,Stock  Split From Rs.10/- to Rs.2/-,02 Aug 2010,-,-,26 Jul 2010,30 Jul 2010,-
590094,FARMAXIND,03 Aug 2010,Stock  Split From Rs.5/- to Rs.1/-,04 Aug 2010,-,-,28 Jul 2010,03 Aug 2010,-
532922,EDELWEISS,10 Aug 2010,Stock  Split From Rs.5/- to Rs.1/-,11 Aug 2010,-,-,04 Aug 2010,10 Aug 2010,-
523523,RAINBOWPAP,11 Aug 2010,Stock  Split From Rs.10/- to Rs.2/-,12 Aug 2010,-,-,05 Aug 2010,11 Aug 2010,-
531137,GEMSI,13 Aug 2010,Stock  Split From Rs.10/- to Rs.1/-,16 Aug 2010,-,-,09 Aug 2010,13 Aug 2010,-
509715,JAYSHREETEA,13 Aug 2010,Stock  Split From Rs.10/- to Rs.5/-,16 Aug 2010,-,-,09 Aug 2010,13 Aug 2010,-
